speaker,start,end,duration,text
DF,00:00:04.160,00:00:04.420,00:00:00.260, FP
Participant,00:00:04.160,00:00:05.657,00:00:01.497,eh what are my options
Participant,00:00:13.410,00:00:15.220,00:00:01.810,eh let's talk about interviews
DF,00:00:13.410,00:00:13.770,00:00:00.360,FP
Participant,00:00:29.330,00:00:31.844,00:00:02.514,eh how would i prepare for an interview
DF,00:00:29.330,00:00:29.740,00:00:00.410,FP
Participant,00:00:45.300,00:00:54.609,00:00:09.309,ehm i guess i would look up the company details and eh try to anpici- anticipate the questions 
DF,00:00:45.300,00:00:46.050,00:00:00.750,FP
DF,00:01:14.920,00:01:15.500,00:00:00.580,FP
Participant,00:01:14.920,00:01:20.490,00:00:05.570,eh yes thank you what were my options again
Participant,00:01:34.850,00:01:38.070,00:00:03.220,eh what can you tell me about the technical test
DF,00:01:34.850,00:01:35.430,00:00:00.580,FP
DF,00:02:12.140,00:02:12.840,00:00:00.700,FP
Participant,00:02:12.140,00:02:18.304,00:00:06.164,ehm no thanks to your advice i feel much better prepared now thank you
