speaker,start,end,duration,text
DF,00:00:47.120,00:00:47.680,00:00:00.560,FP
Participant,00:00:47.120,00:00:48.920,00:00:01.800,mh interview questions
DF,00:02:43.590,00:02:44.430,00:00:00.840,SUB
Participant,00:02:43.590,00:02:44.430,00:00:00.840,n- yes
Participant,00:03:56.670,00:03:57.933,00:00:01.263,ah five
DF,00:03:56.670,00:03:57.164,00:00:00.494,FP
Participant,00:04:51.370,00:04:55.652,00:00:04.282,mh can i ask him about how are what are my options
DF,00:04:51.370,00:04:51.850,00:00:00.480,FP
Participant,00:06:18.020,00:06:20.497,00:00:02.477,ah yes cv structure
DF,00:06:18.020,00:06:18.448,00:00:00.428,FP
