speaker,start,end,duration,text
DF,00:02:00.290,00:02:00.868,00:00:00.578,FP
Participant,00:02:00.290,00:02:09.540,00:00:09.250,ehm what is the best option to find a tech job what kind of skills should i put in my cv
Participant,00:04:38.850,00:04:55.519,00:00:16.669,well most of the time i look at the companies website i look at what they do exactly what product they are selling abd wether my skills and qualifications match that product and then i try to kind of write the speech in my head how i introduce myself and connect my skills
DF,00:04:38.850,00:04:39.720,00:00:00.870,FP
DF,00:05:20.810,00:05:21.230,00:00:00.420,FP
Participant,00:05:20.810,00:05:29.284,00:00:08.474,well i want to ask about the salary for example and eh about the team that i'm going to work with and questions like that
