speaker,start,end,duration,text
Participant,00:00:34.749,00:00:37.650,00:00:02.901,how do i prepare for an interview
DF,00:00:50.959,00:00:51.432,00:00:00.473,FP
DF,00:00:52.390,00:00:53.560,00:00:01.170,ART
DF,00:01:15.500,00:01:17.910,00:00:02.410,UP
Participant,00:01:23.739,00:01:24.966,00:00:01.227,what are my options
Participant,00:01:44.515,00:01:46.584,00:00:02.069,no i haven't had to do it before
Participant,00:02:19.820,00:02:20.344,00:00:00.524,i'm done
Participant,00:02:25.160,00:02:26.670,00:00:01.510,no we are done
Participant,00:02:31.764,00:02:32.470,00:00:00.706,you too
