speaker,start,end,duration,text
Participant,00:00:03.159,00:00:05.905,00:00:02.746,hi eh what can you help me with what are my options
DF,00:00:03.754,00:00:03.950,00:00:00.196,FP
Participant,00:00:10.453,00:00:11.732,00:00:01.279,what are my options
Participant,00:00:18.541,00:00:20.390,00:00:01.849,yes can we talk about resumes
Participant,00:00:22.721,00:00:24.456,00:00:01.735,can we talk about resumes
Participant,00:00:33.689,00:00:36.054,00:00:02.365,i'm currently doing by bachelors degree
Participant,00:00:39.691,00:00:41.446,00:00:01.755,what kind of positions do you mean
Participant,00:00:46.090,00:00:47.684,00:00:01.594,can you repeat the question
Participant,00:00:53.063,00:00:54.989,00:00:01.926,yes what do you mean by position
Participant,00:01:01.766,00:01:05.973,00:00:04.207,oh ehm i currently work next to my studies if that's what you mean
DF,00:01:02.193,00:01:02.457,00:00:00.264,FP
Participant,00:01:12.047,00:01:12.780,00:00:00.733,one
Participant,00:01:19.071,00:01:20.390,00:00:01.319,one position
Participant,00:01:22.913,00:01:23.430,00:00:00.517,one
Participant,00:01:29.753,00:01:31.211,00:00:01.458,three years now
Participant,00:01:42.161,00:01:53.534,00:00:11.373,i don't know what the companies want to see on the cv i don't know which one i should which which of  my abilities and which of my education and what is the most important thing that i should display in it
DF,00:01:45.680,00:01:48.950,00:00:03.270,SUB
Participant,00:02:21.741,00:02:24.393,00:00:02.652,i would like to know how to write my first cv
Participant,00:02:28.736,00:02:31.625,00:00:02.889,i would like to know how to write my first cv
Participant,00:02:58.025,00:02:58.796,00:00:00.771,yes please
DF,00:03:04.210,00:03:04.520,00:00:00.310,FP
Participant,00:03:04.219,00:03:05.826,00:00:01.607,eh the stucture again
Participant,00:03:10.081,00:03:11.409,00:00:01.328,what are my options
Participant,00:03:22.586,00:03:24.929,00:00:02.343,i want to know more about the content
Participant,00:03:28.080,00:03:30.266,00:00:02.186,i want to know more about the content
Participant,00:03:55.262,00:03:56.262,00:00:01.000,no thnak you
Participant,00:03:59.762,00:04:00.390,00:00:00.628,yes
Participant,00:04:04.631,00:04:06.038,00:00:01.407,what are my options
Participant,00:04:09.041,00:04:10.425,00:00:01.384,what are my options
Participant,00:04:18.154,00:04:19.830,00:00:01.676,yes the interviews
Participant,00:04:31.953,00:04:34.110,00:00:02.157,i would like to know more about the preparation
Participant,00:05:12.745,00:05:14.583,00:00:01.838,yes about the questions
DF,00:05:25.373,00:05:25.700,00:00:00.327,FP
Participant,00:05:48.791,00:05:49.884,00:00:01.093,no thank you
Participant,00:05:55.274,00:05:56.390,00:00:01.116,no thank you
Participant,00:06:01.904,00:06:03.044,00:00:01.140,no thank you
Participant,00:06:08.559,00:06:10.176,00:00:01.617,no thank you so much
