speaker,start,end,duration,text
Participant,00:00:02.760,00:00:06.870,00:00:04.110,ehm i'm fine actually so what are my opti-
DF,00:00:02.826,00:00:03.459,00:00:00.633,FP
Participant,00:00:08.199,00:00:08.995,00:00:00.796,what
Participant,00:00:09.533,00:00:10.893,00:00:01.360,what are my options
Participant,00:00:19.120,00:00:20.231,00:00:01.111,interviews
Participant,00:00:23.121,00:00:24.123,00:00:01.002,interviews
Participant,00:00:39.770,00:00:44.732,00:00:04.962,it was eh i- it would be nice if you say something about the preparation
DF,00:00:39.778,00:00:41.185,00:00:01.407,SUB
Participant,00:00:49.144,00:00:50.245,00:00:01.101,preparation
Participant,00:00:55.929,00:00:57.606,00:00:01.677,what i think about it
DF,00:01:19.046,00:01:19.933,00:00:00.887,UP
Participant,00:01:28.369,00:01:29.685,00:00:01.316,what are my options
Participant,00:01:33.364,00:01:34.637,00:00:01.273,what are my opt-
Participant,00:01:35.393,00:01:37.562,00:00:02.169,what are my options
Participant,00:01:50.430,00:01:51.140,00:00:00.710,what
Participant,00:01:51.691,00:01:52.490,00:00:00.799,what are my
Participant,00:02:51.239,00:02:53.286,00:00:02.047,what are my options
Participant,00:02:56.516,00:02:58.755,00:00:02.239,what are my options
Participant,00:03:07.027,00:03:10.110,00:00:03.083,yes technical test what is that
Participant,00:03:12.688,00:03:14.218,00:00:01.530,the technical test
Participant,00:03:17.896,00:03:21.660,00:00:03.764,technical test i don't understand wha-
Participant,00:03:22.687,00:03:23.070,00:00:00.383,yeah
Participant,00:03:27.529,00:03:30.750,00:00:03.221,oh ehm i did a-
DF,00:03:28.178,00:03:29.042,00:00:00.864,FP
DF,00:03:29.042,00:03:30.050,00:00:01.008,UP
Participant,00:03:37.248,00:03:37.986,00:00:00.738,ah okay
Participant,00:03:53.208,00:03:56.345,00:00:03.137,thank you you helped me very much
Participant,00:04:00.592,00:04:03.820,00:00:03.228,ah okay okay thank you very much
Participant,00:04:13.167,00:04:14.832,00:00:01.665,no thank you
Participant,00:04:22.179,00:04:24.866,00:00:02.687,thank you very much
Participant,00:04:29.427,00:04:30.690,00:00:01.263,have a nice day
