speaker,start,end,duration,text
DF,00:00:33.080,00:00:33.240,00:00:00.160,FP
Participant,00:00:33.080,00:00:41.577,00:00:08.497,eh currently my highest level of education is eh a bachelors degree that i finished but i am doing right now my masters
Participant,00:01:09.840,00:01:20.211,00:00:10.371,ehm w- workwise eh i got my first job in 2018 so this is five years now al- almost yeah 
DF,00:01:09.840,00:01:10.565,00:00:00.725,FP
Participant,00:02:01.164,00:02:02.931,00:00:01.767,what are what are my options
DF,00:02:01.164,00:02:02.000,00:00:00.836,REP
Participant,00:02:14.418,00:02:17.815,00:00:03.397,ehm can you give me some advice about cv structure
DF,00:02:14.418,00:02:15.130,00:00:00.712,FP
Participant,00:04:34.720,00:04:53.120,00:00:18.400,ehm i think i should eh think about what eh specific role i have there and then think about maybe easy tasks that i could eh do for that so for example i don't know for one eh job interview i for example had to explain what an rest api is
DF,00:04:34.720,00:04:35.350,00:00:00.630,FP
