Participant No,speaker,start,end,duration,text
2,Silence,00:03:12.899,00:03:14.528,00:00:01.629,silence
2,Furhat,00:03:14.528,00:03:19.010,00:00:04.482,no match 3rd
2,Silence,00:03:19.010,00:03:20.233,00:00:01.223,silence
2,DF,00:03:20.230,00:03:20.603,00:00:00.373,FP
2,Participant,00:03:20.233,00:03:22.854,00:00:02.621,mh yes I would like to know my options
2,Silence,00:03:22.854,00:03:24.833,00:00:01.979,silence
2,Furhat,00:03:24.833,00:03:27.053,00:00:02.220,ask for topic
2,Silence,00:03:27.053,00:03:29.403,00:00:02.350,silence
2,Participant,00:03:29.403,00:03:30.200,00:00:00.797,cv
2,Silence,00:03:30.200,00:03:37.677,00:00:07.477,silence
2,Participant,00:03:37.677,00:03:39.072,00:00:01.395,ah resume resume
2,Silence,00:03:39.072,00:03:40.685,00:00:01.613,silence
2,Furhat,00:03:40.685,00:03:45.421,00:00:04.736,ask education
2,Silence,00:03:45.421,00:03:45.829,00:00:00.408,silence
2,Participant,00:03:45.829,00:03:46.708,00:00:00.879,bachelor
2,Silence,00:03:46.708,00:03:48.303,00:00:01.595,silence
2,Furhat,00:03:48.303,00:03:49.910,00:00:01.607,CR
2,Silence,00:03:49.910,00:03:50.283,00:00:00.373,silence
2,Participant,00:03:50.283,00:03:51.658,00:00:01.375,i have a bachelor
2,Silence,00:03:51.658,00:03:52.889,00:00:01.231,silence
2,Furhat,00:03:52.889,00:03:55.999,00:00:03.110,ask positions
2,Silence,00:03:55.999,00:03:56.670,00:00:00.671,silence
2,Participant,00:03:56.670,00:03:57.933,00:00:01.263,ah five
2,DF,00:03:56.670,00:03:57.164,00:00:00.494,FP
2,Silence,00:03:57.933,00:04:02.645,00:00:04.712,silence
2,Participant,00:04:02.645,00:04:03.209,00:00:00.564,five
2,Silence,00:04:03.209,00:04:07.768,00:00:04.559,silence
2,Participant,00:04:07.768,00:04:09.094,00:00:01.326,five positions
2,Silence,00:04:09.094,00:04:13.424,00:00:04.330,silence
2,Participant,00:04:13.424,00:04:15.157,00:00:01.733,i had five positions
2,Silence,00:04:15.157,00:04:16.733,00:00:01.576,silence
2,Furhat,00:04:16.733,00:04:18.981,00:00:02.248,ask experience
2,Silence,00:04:18.981,00:04:19.894,00:00:00.913,silence
2,Participant,00:04:19.894,00:04:21.669,00:00:01.775,twenty years
2,DF,00:04:20.500,00:04:20.990,00:00:00.490,UP
2,Silence,00:04:21.669,00:04:23.660,00:00:01.991,silence
2,Furhat,00:04:23.660,00:04:30.783,00:00:07.123,ask open question
2,Silence,00:04:30.783,00:04:31.786,00:00:01.003,silence
2,Participant,00:04:31.786,00:04:32.700,00:00:00.914,cannot write
2,Silence,00:04:32.700,00:04:34.201,00:00:01.501,silence
2,Furhat,00:04:34.201,00:04:38.045,00:00:03.844,ask for advice need
2,Silence,00:04:38.045,00:04:38.886,00:00:00.841,silence
2,Participant,00:04:38.886,00:04:39.750,00:00:00.864,how to write
2,Silence,00:04:39.750,00:04:41.328,00:00:01.578,silence
2,Furhat,00:04:41.328,00:04:43.969,00:00:02.641,no match 1st
2,Silence,00:04:43.969,00:04:45.385,00:00:01.416,silence
2,Participant,00:04:45.385,00:04:46.710,00:00:01.325,how to write
2,Silence,00:04:46.710,00:04:48.140,00:00:01.430,silence
2,Furhat,00:04:48.140,00:04:51.315,00:00:03.175,no match 2nd
2,Silence,00:04:51.315,00:04:51.370,00:00:00.055,silence
2,Participant,00:04:51.370,00:04:55.652,00:00:04.282,mh can i ask him about how are what are my options
2,DF,00:04:51.370,00:04:51.850,00:00:00.480,FP
2,DF,00:04:53.810,00:04:54.700,00:00:00.890,SUB
2,Silence,00:04:55.652,00:04:57.164,00:00:01.512,silence
2,Furhat,00:04:57.164,00:05:06.725,00:00:09.561,give options
2,Silence,00:05:06.725,00:05:07.400,00:00:00.675,silence
2,Participant,00:05:07.400,00:05:12.290,00:00:04.890,i would like to know how to ehm write the content
2,DF,00:05:09.403,00:05:10.490,00:00:01.087,UP
2,DF,00:05:10.490,00:05:11.050,00:00:00.560,FP
2,Overlap,00:05:10.993,00:05:12.290,00:00:01.297,overlap
2,Furhat,00:05:10.993,00:05:16.670,00:00:05.677,no match 3rd
2,Silence,00:05:16.670,00:05:16.913,00:00:00.243,silence
2,Participant,00:05:16.913,00:05:20.638,00:00:03.725,i want to know about about the content of my resume
2,DF,00:05:17.460,00:05:19.060,00:00:01.600,REP
2,Silence,00:05:20.638,00:05:22.286,00:00:01.648,silence
2,Furhat,00:05:22.286,00:05:28.320,00:00:06.034,ask education
2,Silence,00:05:28.320,00:05:30.906,00:00:02.586,silence
2,Participant,00:05:30.906,00:05:31.805,00:00:00.899,bachelor
2,Silence,00:05:31.805,00:05:33.275,00:00:01.470,silence
2,Furhat,00:05:33.275,00:05:40.627,00:00:07.352,ask open question
2,Silence,00:05:40.627,00:05:42.853,00:00:02.226,silence
2,Participant,00:05:42.853,00:05:44.020,00:00:01.167,what are my options
2,Silence,00:05:44.020,00:05:45.612,00:00:01.592,silence
2,Furhat,00:05:45.612,00:05:49.551,00:00:03.939,ask advice needs
2,Silence,00:05:49.551,00:05:50.963,00:00:01.412,silence
2,Participant,00:05:50.963,00:05:52.358,00:00:01.395,what are my options
2,Silence,00:05:52.358,00:05:53.161,00:00:00.803,silence
2,Furhat,00:05:53.161,00:06:03.170,00:00:10.009,give options
2,Silence,00:06:03.170,00:06:03.580,00:00:00.410,silence
2,DF,00:06:03.563,00:06:03.890,00:00:00.327,FP
2,Participant,00:06:03.580,00:06:05.472,00:00:01.892,mh about cv structure
2,Silence,00:06:05.472,00:06:08.573,00:00:03.101,silence
2,Furhat,00:06:08.573,00:06:09.642,00:00:01.069,no voice recognized 1st
2,Silence,00:06:09.642,00:06:09.803,00:00:00.161,silence
2,Participant,00:06:09.803,00:06:11.113,00:00:01.310,cv structure
2,Silence,00:06:11.113,00:06:15.179,00:00:04.066,silence
2,Furhat,00:06:15.179,00:06:17.641,00:00:02.462,no voice recognized 2nd
2,Silence,00:06:17.641,00:06:18.020,00:00:00.379,silence
2,Participant,00:06:18.020,00:06:20.497,00:00:02.477,ah yes cv structure
2,DF,00:06:18.020,00:06:18.448,00:00:00.428,FP
2,Silence,00:06:20.497,00:06:23.148,00:00:02.651,silence
2,Furhat,00:06:23.148,00:06:28.804,00:00:05.656,no voice recognized 3rd
2,Silence,00:06:28.804,00:06:29.543,00:00:00.739,silence
2,Participant,00:06:29.543,00:06:32.040,00:00:02.497,i would like to know about cv structure
2,Silence,00:06:32.040,00:06:33.857,00:00:01.817,silence
2,Furhat,00:06:33.857,00:07:06.957,00:00:33.100,give advice
2,Silence,00:07:06.957,00:07:07.152,00:00:00.195,silence
2,Participant,00:07:07.152,00:07:08.826,00:00:01.674,no that is all
2,Silence,00:07:08.826,00:07:09.354,00:00:00.528,silence
2,Furhat,00:07:09.354,00:07:11.209,00:00:01.855,ask if topic change
2,Silence,00:07:11.209,00:07:11.941,00:00:00.732,silence
2,DF,00:07:11.877,00:07:12.390,00:00:00.513,FP
2,Participant,00:07:11.941,00:07:14.694,00:00:02.753,hm i am done thank you
2,DF,00:07:12.390,00:07:13.540,00:00:01.150,UP
2,Silence,00:07:14.694,00:07:16.203,00:00:01.509,silence
2,Furhat,00:07:16.203,00:07:18.785,00:00:02.582,no match 1st
2,Silence,00:07:18.785,00:07:19.627,00:00:00.842,silence
2,Participant,00:07:19.627,00:07:20.936,00:00:01.309,that is all
2,Silence,00:07:20.936,00:07:27.360,00:00:06.424,silence
2,Participant,00:07:27.360,00:07:28.581,00:00:01.221,i am done
2,Silence,00:07:28.581,00:07:31.259,00:00:02.678,silence
2,Participant,00:07:31.259,00:07:31.858,00:00:00.599,no
2,Silence,00:07:31.858,00:07:32.563,00:00:00.705,silence
2,Participant,00:07:32.563,00:07:33.215,00:00:00.652,no
2,Silence,00:07:33.215,00:07:35.624,00:00:02.409,silence
2,Furhat,00:07:35.624,00:07:38.569,00:00:02.945,goodbye
2,Silence,00:07:38.569,00:07:39.134,00:00:00.565,silence
2,Participant,00:07:39.134,00:07:39.800,00:00:00.666,thank you
3,Furhat,00:00:00.460,00:00:01.990,00:00:01.530,greeting
3,Silence,00:00:01.990,00:00:04.160,00:00:02.170,silence
3,DF,00:00:04.160,00:00:04.420,00:00:00.260, FP
3,Participant,00:00:04.160,00:00:05.657,00:00:01.497,eh what are my options
